55550011,11110001,Two Words: Hitchcock's Best (...and you know that's no small feat!),10
55550008,11110002,A great movie! I love it!,10
55550008,11110003,A great movie! I love it!,10
55550008,11110004,A great movie! I love it!,10
55550012,11110005,Amazing achievement in filmmaking and the art of terror.,9
55550008,11110006,A great movie! I love it!,10
55550008,11110007,A great movie! I love it!,10
55550008,11110008,A great movie! I love it!,10
55550008,11110009,A great movie! I love it!,10
55550008,11110010,A great movie! I love it!,10
55550008,11110011,A great movie! I love it!,10
55550013,11110012,In a word terrifying,10
55550008,11110013,A great movie! I love it!,10
55550008,11110014,A great movie! I love it!,10
55550001,11110015,"The genius is not in how much Stanley Kubrick does in ""2001: A Space Odyssey,"" but in how little. This is the work of an artist so sublimely confident that he doesn't include a single shot simply to keep our attention. He reduces each scene to its essence, and leaves it on screen long enough for us to contemplate it, to inhabit it in our imaginations. Alone among science-fiction movies, “2001"" is not concerned with thrilling us, but with inspiring our awe.",10
55550015,11110015,A film of monolithic proportions.,10
55550014,11110015,A terrible overrated movie. It features extended sequences that last several minutes that contribute nothing at all. Do I need to see a man move through a hallway for three minutes?,2
55550016,11110016,Terrible movie,7
55550010,11110017,This movie is Ok,7
55550010,11110018,This movie is Ok,7
55550014,11110019,This movie is a true classic.,8
55550010,11110020,This movie is Ok,7
55550010,11110021,This movie is Ok,7
55550014,11110022,I think this a fantastic movie. Animation shouldn't be underestimated!,10
55550010,11110023,This movie is Ok,7
55550016,11110024,Greate movie,8
55550010,11110025,This movie is Ok,7
55550016,11110026,Waste of time,5
55550016,11110027,It is fantistic movie,10
55550016,11110028,Sad movie,7
55550016,11110029,Terrible and sad movie,6
55550016,11110030,romantic movie. Good to spend a time with friends,8
55550016,11110031,Good movie,8
55550016,11110032,It is interesting movies. Nice to spend on holiday,9
55550016,11110033,Absolutely love it! Couldn't be happier.,10
55550016,11110034,"They took the best parts of an amazing show, eliminated them, and gave us this garbage. Fix it or I'm out.",3
55550010,11110035,This movie is Ok,7
55550016,11110036,Waste of time,4
55550016,11110037,"The American driver, dead celebs and non-automotive segments need to go. First episode was a solid B, episode 2 was a C-",6
55550010,11110038,This movie is Ok,7
55550010,11110039,This movie is Ok,7
55550016,11110040,Great movie,9
55550016,11110041,It is fantistic movie,10
55550016,11110042,Sad movie,7
55550016,11110043,Terrible and sad movie,6
55550016,11110044,romantic movie. Good to spend a time with friends,8
55550016,11110045,Good movie,8
55550016,11110046,It is interesting movies. Nice to spend on holiday,9
55550016,11110047,Terrible and sad movie,6
55550016,11110048,romantic movie. Good to spend a time with friends,8
55550016,11110049,Good movie,8
55550016,11110050,It is interesting movies. Nice to spend on holiday,9
55550002,11110048,A good movie,8
55550002,11110049,A good movie,8
55550002,11110050,A good movie,8
55550003,11110010,This movie is Ok,7
55550004,11110011,This movie is Ok,7
55550005,11110012,This movie is Ok,7
55550006,11110013,This movie is Ok,7
55550007,11110014,This movie is Ok,7
55550008,11110015,A great movie! I love it!,10
55550009,11110043,This movie is Ok,7
55550010,11110044,This movie is Ok,7
